sictom_de_la_region_de_morestel_692_initiatives_locales,,,,,,
bellamri_nadia_216428_reparation,29 Avenue de la Liberté,,92000,Nanterre,2.208974,48.889631
lamb_air_213721_reparation,6 Allée des Champs Elysées,,91080,Évry-Courcouronnes,2.423746,48.62688
portes_antiques_et_reeditions_182376_reparation,58 Rue de Lumières,,84220,Goult,5.232252,43.859697
electromenagers_entreprise_179864_reparation_0755220935,272 Avenue Sainte-Marguerite,,06200,Nice,7.202023,43.688934
communaute_de_communes_des_coevrons_947_initiatives_locales,,,,,,
jonard_samuel_137983_reparation_0238462818,,,,,,
sarl_salarino_17872_reparation,68 Avenue Edouard Latil,,83000,Toulon,5.948938,43.114626
societe_d_equipements_et_de_materiels_agricoles_normands_121502_reparation,4 Rue des Pommiers,,61120,Vimoutiers,0.19665,48.934307
oscar_bijoux_215114_reparation,14 Rue Gustave Courbet,,75016,Paris,2.281576,48.866565
latelier_les_petits_cailloux_198363_reparation,8 Rue Saint Désiré,,39000,Lons-le-Saunier,5.55163,46.673779
marmelnobijoux___melanie_chenau_204965_reparation_0615843145,23 Boulevard Maréchal Foch,,38000,Grenoble,5.723886,45.180756
atelier_corozo_sarl_162244_reparation_0545854322,15 Rue de la Croix Saint Georges,,16500,Confolens,0.658307,46.017673
m_kuntz_henri_186297_reparation_0388509679,12 Rue des Chasseurs,,67280,Oberhaslach,7.315786,48.548411
m_coclet_philippe_55399_reparation,2 Rue de la Gare,,59150,Wattrelos,3.214986,50.701917
home_video_concept_163340_reparation,9bis Rue des Brandes,,17100,Saintes,-0.639587,45.720915
atelier_mc_creations___skadi___rhea_139902_reparation_0471599884,420 Rue du Pont,,07310,Saint-Martin-de-Valamas,4.371015,44.935698
traversa_alain_108137_reparation_0619639279,285 Avenue du Repos,,13360,Roquevaire,5.60356,43.34247
m_leflers_jean_165062_reparation,2 Place Auguste Roche,,87200,Saint-Junien,0.901112,45.887149
langlade_cynthia_204582_reparation,12 Route Départementale 347 (Corné),,49140,Loire-Authion,-0.326723,47.474679
meynie_164787_reparation_0553041776,27 Route des Artisans,,24210,Azerat,1.090248,45.148157
perioche_joseph_158928_reparation_0388443671,1 Place Jean Jaurés,,16200,Jarnac,-0.173908,45.681395
cles_cordo_tours_nord_137597_reparation_0247417423,12 Rue de Dieppe,,37100,Tours,0.674717,47.425367
digital_tech_booster_108965_reparation,45 Allée des Ormes,,06250,Mougins,7.01365,43.611089
grojean_sandrine_160705_reparation,111 Chemin de Donapetria,,64640,Lantabat,-1.115587,43.267039
toto_veronique_101845_reparation_0696547771,15d Quartier Petit Galion,,97220,La Trinité,-60.965811,14.727117
michel_nesprias_et_cie_165002_reparation_0559937427,43 Legarreko bidea,,64480,Larressore,-1.431956,43.371228
latelier_de_titanne_161221_reparation,11 Place du Fronton,,64240,La Bastide-Clairence,-1.255937,43.429736
m_etienne_teddy_105527_reparation,2a Cour du Chateau,,57100,Thionville,6.168178,49.357759
crb_informatique_101906_reparation,12 Rue Montmirail,,97250,Saint-Pierre,-61.17508,14.744903
da_cunha_joao_136169_reparation,1 Rue Alfred Kastler,,45430,Chécy,2.038953,47.905416
elfe_attitude_202149_reparation_0661417568,Marseille 1er Arrondissement,,13001,Marseille 1er Arrondissement,5.382923,43.298906
